1609545600000,29408.99000000,33333.33000000,29023.16000000,32215.48000000,25994.09894500,1609631999999,815941675.28136448,688421,13071.91729400,409972695.65910800,0
1609632000000,32203.42000000,34786.00000000,32000.00000000,33071.12000000,24687.25786100,1609718399999,828901521.97424832,779666,12152.90291800,408130280.85594865,0
1609718400000,33071.12000000,33651.20000000,28089.05000000,32015.40000000,28654.79327400,1609804799999,902243512.58783982,844565,14171.59631500,446662113.23415966,0
1609804800000,32016.21000000,34498.00000000,29907.84000000,34048.81000000,24612.32109500,1609891199999,791841698.89596932,766364,12348.56493100,397592447.07873408,0
1609891200000,34048.80000000,37002.20000000,33387.97000000,36851.55000000,25492.32606400,1609977599999,891887505.31363134,719482,12777.84104200,447416896.49660392,0
1609977600000,36844.23000000,40404.26000000,36350.00000000,39488.00000000,25543.25348100,1610063999999,976851888.89692053,785526,12823.11051900,490476672.20705061,0
1610064000000,39487.99000000,42000.18000000,36588.03000000,40610.16000000,31055.16690000,1610150399999,1237460661.37006722,856753,15693.99308500,625825996.13789303,0
1610150400000,40603.72000000,41430.00000000,38764.34000000,40239.25000000,15159.81876100,1610236799999,611691533.52826682,515854,7526.80156000,303770246.57319666,0
1610236800000,40239.25000000,41460.00000000,35080.12000000,38162.04000000,22678.56174200,1610323199999,882386709.67486774,598035,10747.63060100,418495356.16910533,0
1610323200000,38160.00000000,38268.52000000,30330.55000000,35427.77000000,54760.93144900,1610409599999,1848394607.41770943,1398695,26882.20473600,906750286.99650754,0
1610409600000,35412.07000000,36650.00000000,32507.09000000,34029.14000000,29041.84873100,1610495999999,1007672459.16265984,976050,14349.68637100,498081962.81602793,0
1610496000000,34028.38000000,37800.00000000,32350.00000000,37383.06000000,28162.23462700,1610582399999,974465916.02076069,897954,14376.86541400,498067647.24826230,0
1610582400000,37374.52000000,40110.00000000,36700.00000000,39113.72000000,23519.92170200,1610668799999,908536023.43065265,776351,11546.57793600,446207686.35440288,0
1610668800000,39113.71000000,39692.96000000,34353.19000000,36734.62000000,28136.81532400,1610755199999,1038315494.28107037,844167,13730.56652800,506719869.44595963,0
1610755200000,36734.60000000,37950.00000000,35372.83000000,36003.52000000,19946.17585400,1610841599999,734569335.03888707,672134,9754.12223100,359318258.00136258,0
1610841600000,36003.52000000,36845.81000000,33840.00000000,35833.58000000,16364.17901300,1610927999999,579524373.74838588,613213,8231.42399700,291535502.81992329,0
1610928000000,35820.41000000,37455.23000000,34770.00000000,36632.24000000,15153.28093700,1611014399999,547435678.14851355,588739,7568.20657100,273365608.30850441,0
